NAICS Codes,NAICS Industry Description,"Size standards 
in millions of dollars",Size standards in number of employees,Footnotes
,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",,,
Subsector 111 – Crop Production,,,,
111110,Soybean Farming,$2.25,,
111120,Oilseed (except Soybean) Farming,$2.25,,
111130,Dry Pea and Bean Farming,$2.75,,
111140,Wheat Farming,$2.25,,
111150,Corn Farming,$2.5,,
111160,Rice Farming,$2.5,,
111191,Oilseed and Grain Combination Farming,$2.25,,
111199,All Other Grain Farming,$2.25,,
111211,Potato Farming,$4.25,,
111219,Other Vegetable (except Potato) and Melon Farming  ,$3.75,,
111310,Orange Groves,$4.0,,
111320,Citrus (except Orange) Groves,$4.25,,
111331,Apple Orchards,$4.5,,
111332,Grape Vineyards,$4.0,,
111333,Strawberry Farming,$5.5,,
111334,Berry (except Strawberry) Farming,$3.75,,
111335,Tree Nut Farming,$3.75,,
111336,Fruit and Tree Nut Combination Farming,$5.0,,
111339,Other Noncitrus Fruit Farming,$3.5,,
111411,Mushroom Production,$4.5,,
111419,Other Food Crops Grown Under Cover,$4.5,,
111421,Nursery and Tree Production,$3.25,,
111422,Floriculture Production,$3.75,,
111910,Tobacco Farming,$2.5,,
111920,Cotton Farming,$3.25,,
111930,Sugarcane Farming,$5.0,,
111940,Hay Farming,$2.5,,
111991,Sugar Beet Farming  ,$2.5,,
111992,Peanut Farming  ,$2.5,,
111998,All Other Miscellaneous Crop Farming,$2.5,,
Subsector 112 – Animal Production and Aquaculture,,,,
112111,Beef Cattle Ranching and Farming,$2.5,,
112112,Cattle Feedlots,$22.0,,
112120,Dairy Cattle and Milk Production,$3.75,,
112210,Hog and Pig Farming,$4.0,,
112310,Chicken Egg Production,$19.0,,
112320,Broilers and Other Meat Type Chicken Production  ,$3.5,,
112330,Turkey Production,$3.75,,
112340,Poultry Hatcheries,$4.0,,
112390,Other Poultry Production,$3.75,,
112410,Sheep Farming,$3.5,,
112420,Goat Farming,$2.5,,
112511,Finfish Farming and Fish Hatcheries,$3.75,,
112512,Shellfish Farming,$3.75,,
112519,Other Aquaculture,$3.75,,
112910,Apiculture,$3.25,,
112920,Horses and Other Equine Production,$2.75,,
112930,Fur‑Bearing Animal and Rabbit Production,$3.75,,
112990,All Other Animal Production,$2.75,,
Subsector 113 – Forestry and Logging,,,,
113110,Timber Tract Operations,$19.0,,
113210,Forest Nurseries and Gathering of Forest Products,$20.5,,
113310,Logging,,500 ,
"Subsector 114 – Fishing, Hunting and Trapping",,,,
114111,Finfish Fishing,$25.0,,
114112,Shellfish Fishing,$14.0,,
114119,Other Marine Fishing,$11.5,,
114210,Hunting and Trapping,$8.5,,
Subsector 115 – Support Activities for Agriculture and Forestry,,,,
115111,Cotton Ginning,$16.0,,
115112,"Soil Preparation, Planting, and Cultivating",$9.5,,
115113,"Crop Harvesting, Primarily by Machine",$13.5,,
115114,Postharvest Crop Activities (except Cotton Ginning),$34.0,,
115115,Farm Labor Contractors and Crew Leaders,$19.0,,
115116,Farm Management Services,$15.5,,
115210,Support Activities for Animal Production,$11.0,,
115310,Support Activities for Forestry  ,$11.5,,
115310 (Exception 1),Forest Fire Suppression1,$34.0,,See footnote 1
115310 (Exception 2),Fuels Management Services1,$34.0,,See footnote 1
,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",,,
Subsector 211 – Oil and Gas Extraction,,,,
211120,Crude Petroleum Extraction,,"1,250",
211130,Natural Gas Extraction,,"1,250",
Subsector 212 – Mining (except Oil and Gas),,,,
212114,Surface Coal Mining,,"1,250",
212115,Underground Coal Mining,,"1,500",
212210,Iron Ore Mining,,"1,400 ",
212220,Gold Ore and Silver Ore Mining,,"1,500",
212230,"Copper, Nickel, Lead, and Zinc Mining",,1400,
212290,Other Metal Ore Mining,,1250,
212311,Dimension Stone Mining and Quarrying,,500 ,
212312,Crushed and Broken Limestone Mining and Quarrying,,750 ,
212313,Crushed and Broken Granite Mining and Quarrying,,850 ,
212319,Other Crushed and Broken Stone Mining and Quarrying,,550 ,
212321,Construction Sand and Gravel Mining,,500 ,
212322,Industrial Sand Mining,,750 ,
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",,650,
212390,Other Nonmetallic Mineral Mining and Quarrying,,600,
Subsector 213 – Support Activities for Mining,,,,
213111,Drilling Oil and Gas Wells,,"1,000 ",
213112,Support Activities for Oil and Gas Operations,$47.0,,
213113,Support Activities for Coal Mining,$27.5,,
213114,Support Activities for Metal Mining,$41.0,,
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,$20.5,,
,Sector 22 – Utilities,,,
Subsector 221 – Utilities,,,,
221111,Hydroelectric Power Generation,,750 ,
221112,Fossil Fuel Electric Power Generation,,950 ,
221113,Nuclear Electric Power Generation,,"1,150 ",
221114,Solar Electric Power Generation,,500 ,
221115,Wind Electric Power Generation,,"1,150 ",
221116,Geothermal Electric Power Generation,,250 ,
221117,Biomass Electric Power Generation,,550 ,
221118,Other Electric Power Generation,,650 ,
221121,Electric Bulk Power Transmission and Control,,950 ,
221122,Electric Power Distribution,,"1,100 ",
221210,Natural Gas Distribution,,"1,150 ",
221310,Water Supply and Irrigation Systems,$41.0,,
221320,Sewage Treatment Facilities,$35.0,,
221330,Steam and Air‑Conditioning Supply,$30.0,,
,Sector 23 – Construction,,,
Subsector 236 – Construction of Buildings,,,,
236115,New Single-family Housing Construction (Except For-Sale Builders),$45.0,,
236116,New Multifamily Housing Construction (except For-Sale Builders),$45.0,,
236117,New Housing For-Sale Builders,$45.0,,
236118,Residential Remodelers,$45.0,,
236210,Industrial Building Construction,$45.0,,
236220,Commercial and Institutional Building Construction,$45.0,,
Subsector 237 – Heavy and Civil Engineering Construction,,,,
237110,Water and Sewer Line and Related Structures Construction,$45.0,,
237120,Oil and Gas Pipeline and Related Structures Construction,$45.0,,
237130,Power and Communication Line and Related Structures Construction,$45.0,,
237210,Land Subdivision,$34.0,,
237310,"Highway, Street, and Bridge Construction",$45.0,,
237990,Other Heavy and Civil Engineering Construction,$45.0,,
237990 (Exception),Dredging and Surface Cleanup Activities2,$37.0,,See footnote 2
Subsector 238 – Specialty Trade Contractors,,,,
238110,Poured Concrete Foundation and Structure Contractors,$19.0,,
238120,Structural Steel and Precast Concrete Contractors,$19.0,,
238130,Framing Contractors,$19.0,,
238140,Masonry Contractors,$19.0,,
238150,Glass and Glazing Contractors,$19.0,,
238160,Roofing Contractors,$19.0,,
238170,Siding Contractors,$19.0,,
238190,"Other Foundation, Structure, and Building Exterior Contractors",$19.0,,
238210,Electrical Contractors and Other Wiring Installation Contractors,$19.0,,
238220,"Plumbing, Heating, and Air‑Conditioning Contractors   ",$19.0,,
238290,Other Building Equipment Contractors,$22.0,,
238310,Drywall and Insulation Contractors,$19.0,,
238320,Painting and Wall Covering Contractors,$19.0,,
238330,Flooring Contractors,$19.0,,
238340,Tile and Terrazzo Contractors,$19.0,,
238350,Finish Carpentry Contractors,$19.0,,
238390,Other Building Finishing Contractors,$19.0,,
238910,Site Preparation Contractors,$19.0,,
238990,All Other Specialty Trade Contractors,$19.0,,
238990 (Exception),Building and Property Specialty Trade Services 13,$19.0,,See footnote 13
,Sector 31 – 33 – Manufacturing,,,
Subsector 311 – Food Manufacturing,,,,
311111,Dog and Cat Food Manufacturing,,"1,250 ",
311119,Other Animal Food Manufacturing,,650 ,
311211,Flour Milling,,"1,050 ",
311212,Rice Milling,,750 ,
311213,Malt Manufacturing,,500 ,
311221,Wet Corn Milling and Starch Manufacturing,,"1,300 ",
311224,Soybean and Other Oilseed Processing,,"1,250 ",
311225,Fats and Oils Refining and Blending,,"1,100 ",
311230,Breakfast Cereal Manufacturing,,"1,300 ",
311313,Beet Sugar Manufacturing,,"1,150 ",
311314,Cane Sugar Manufacturing,,"1,050 ",
311340,Nonchocolate Confectionery Manufacturing,,"1,000 ",
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,,"1,250 ",
311352,Confectionery Manufacturing from Purchased Chocolate,,"1,000 ",
311411,"Frozen Fruit, Juice and Vegetable Manufacturing",,"1,100 ",
311412,Frozen Specialty Food Manufacturing,,"1,250 ",
311421,Fruit and Vegetable Canning3,,"1,000 ",See footnote 3
311422,Specialty Canning,,"1,400 ",
311423,Dried and Dehydrated Food Manufacturing,,750 ,
